"hosts","viruses","prop_false"
659,2390,0.172213417855256
322,1328,0.296844181459566
1379,4997,0.0224775224775224
597,2256,0.193883439122908
1547,5396,0.00393154486586489
1250,4620,0.0414409534127844
73,711,0.415032679738562
1033,4063,0.0703794369645043
1145,4269,0.0618436406067678
1348,4943,0.0328238536707592
208,727,0.413005272407733
822,3056,0.142506142506142
1358,4859,0.0287843741968645
570,2702,0.153846153846154
1278,4653,0.0404717233985527
680,2665,0.178301886792453
1059,3570,0.0895258315640481
136,585,0.495884773662551
1084,3719,0.0945040214477212
552,2338,0.188197767145136
177,693,0.398230088495575
44,229,0.761194029850746
531,2378,0.195461578133058
107,421,0.487671232876712
1328,4759,0.0318588730911006
1241,4503,0.0428730512249443
474,2182,0.227014755959137
1248,4601,0.0368449781659389
940,3978,0.083645443196005
611,2698,0.159584513692162
831,3368,0.103318250377074
522,1730,0.270485859318347
425,1775,0.222382671480144
418,1680,0.263629574309186
1545,5335,0.00771208226221076
680,2496,0.178751258811682
1530,5325,0.00633356790992257
460,2293,0.183189655172414
1530,5353,0.00117123448114309
25,169,0.544871794871795
1101,4386,0.0594868903298562
1230,4342,0.0575931232091691
1316,4828,0.0354847004371304
1394,4899,0.0245336059289548
342,1691,0.244252873563218
398,1639,0.256923076923077
433,1801,0.224606580829757
975,3665,0.0918402185046091
720,3192,0.128476302389346
1071,3913,0.0739425250242169
778,2813,0.14918824045634
670,3216,0.125431530494822
185,788,0.38301282051282
1217,4588,0.0417007358953393
1550,5338,0.00701098387473709
351,1397,0.296229802513465
936,3522,0.092964824120603
73,373,0.588235294117647
468,2144,0.241220495106505
384,1882,0.233333333333333
1103,4181,0.0680534918276374
919,3473,0.10377358490566
1508,5362,0.00558529206423086
905,3465,0.102239884393064
1328,4838,0.0312016503352244
1459,5176,0.0196548418024928
184,1371,0.283201407211961
1529,5326,0.00795693891879246
1530,5224,0.0088665228852145
1237,4205,0.0620730620730621
1188,4143,0.0662031438935913
1554,5395,0.00300995600833531
1278,4386,0.0553034600113443
1033,3457,0.109289617486339
1385,4905,0.0274669379450662
1218,4484,0.0464985994397759
631,2727,0.162322816643804
1166,4227,0.0635530594147207
500,1844,0.239754098360656
1226,4330,0.0587557603686636
1211,4722,0.0425755584756898
1356,4951,0.0320240180135102
1194,4227,0.0529781502544149
645,2428,0.210392256749873
766,2889,0.135229759299781
1518,5300,0.0108057317359643
1248,4755,0.0343832020997376
1241,4556,0.0454669953437414
526,2473,0.173783515392254
1467,5098,0.0214529497805949
858,3216,0.11600471883602
1403,4718,0.030609528879425
943,3439,0.114748201438849
1359,4901,0.0287678207739308
410,1948,0.22020725388601
1015,3911,0.075224071702945
784,2902,0.143298059964727
1239,4129,0.0658610271903324
371,1765,0.263927576601671
53,315,0.647509578544061
785,3265,0.124436090225564
1156,4594,0.0404040404040404
1216,4285,0.0626995645863571
774,3018,0.145274453157243
1444,4949,0.0262228946041352
458,1533,0.287278854254423
1073,4248,0.0584950029394474
696,2944,0.155778894472362
434,1955,0.214147909967846
1261,4781,0.0403726708074534
163,812,0.447368421052632
1336,4755,0.0379581151832461
1355,4710,0.0352691593741713
59,488,0.497695852534562
684,3047,0.129690048939641
1473,5081,0.0148001973359645
568,2143,0.208139534883721
1363,4692,0.0352846832397755
881,3535,0.0941977077363897
546,2057,0.220253164556962
1096,4170,0.0651651651651651
1056,4179,0.0643327348892878
1168,4202,0.0572541966426858
272,1155,0.348886532343584
1266,4535,0.043141592920354
399,2016,0.215818516247701
48,238,0.648241206030151
1581,5448,0.000229357798165131
1445,4998,0.0190523940837303
209,1050,0.396634615384615
914,3905,0.0814508431434935
627,2487,0.162273901808786
1296,4647,0.0392578650174779
1339,4688,0.0461133069828722
131,509,0.509661835748792
1543,5368,0.00534635053463506
271,1495,0.271666666666667
384,1635,0.27286470143613
473,2496,0.155364372469636
132,525,0.421739130434783
1245,4462,0.047124824684432
1063,3903,0.0740977323538805
1004,3580,0.0958083832335329
1318,4877,0.0273797338792221
1533,5281,0.0131764705882353
504,2805,0.161290322580645
314,1409,0.281873373807459
60,244,0.586206896551724
316,1515,0.272433306386419
374,1709,0.261504747991234
884,3360,0.113451589061345
159,888,0.368638239339752
1356,4542,0.0379817022456335
1376,4593,0.0406437534097108
1555,5379,0.00510204081632648
1267,4984,0.0268991282689913
1087,4114,0.070392749244713
364,1624,0.261068702290076
349,1521,0.270973154362416
501,2128,0.204332552693208
455,1936,0.241650294695481
380,1586,0.256289308176101
1321,4451,0.0427883253046188
439,1837,0.236895847515317
282,1240,0.35819430814524
331,1559,0.267460317460318
348,1792,0.267576791808874
826,3417,0.106686152721958
998,3524,0.117791842475387
1194,4138,0.0689238210399032
627,2612,0.182075471698113
577,2515,0.166500994035785
1068,4385,0.0597395243488109
156,606,0.444672131147541
777,2991,0.136074607884697
744,2464,0.181268882175227
1310,4785,0.0314053912588328
574,2208,0.204972375690608
1346,4585,0.043086992091628
1533,5304,0.00940070505287893
1055,3907,0.0745740919318547
1288,4394,0.0540386803185438
1313,4515,0.050427114907688
339,1685,0.247619047619048
1493,4910,0.0209933435739887
1324,4842,0.0316602316602317
1394,4869,0.0307219662058372
373,1636,0.257410296411856
1292,4621,0.0486820871436257
543,2409,0.196805770221535
440,2292,0.200425305688464
1479,5183,0.0132466281310212
911,3439,0.116840966462315
872,3468,0.107116920842411
1030,3890,0.0816457730633237
1403,5088,0.016220201523716
669,2745,0.160845588235294
961,3456,0.101608187134503
1339,4936,0.0294561933534743
51,237,0.586206896551724
330,1480,0.307435254803676
570,2485,0.189505858380031
199,1213,0.327689243027888
1254,4657,0.0392313851080864
90,508,0.533816425120773
403,2198,0.187995469988675
540,2048,0.215950920245399
73,382,0.49702380952381
1316,4622,0.0353452963567156
853,3547,0.100981767180926
259,1113,0.342541436464088
977,4007,0.0764925373134329
998,3626,0.0938803894297635
613,2609,0.171387421987518
583,2396,0.183040330920372
813,2997,0.138737985791893
479,2447,0.177052423343225
264,1255,0.297376093294461
819,3293,0.131086142322097
30,264,0.588983050847458
590,2888,0.155068728522337
210,790,0.34012539184953
526,2233,0.213096559378468
39,217,0.691860465116279
1422,5096,0.0130477597242737
716,2606,0.158699808795411
701,3528,0.100141542816702
611,2323,0.200969827586207
1058,4287,0.0600173963467672
822,3561,0.10180681028492
70,296,0.608695652173913
1192,4537,0.0441822173435785
94,576,0.406570841889117
711,2516,0.166158536585366
1339,4796,0.0323084940072955
473,1826,0.243885869565217
176,1377,0.321148825065274
414,1720,0.247445255474453
849,3538,0.11529083942877
657,2555,0.170482221139795
1243,4641,0.0418791946308725
846,3758,0.0869276708692767
685,2287,0.182513661202186
745,2813,0.159335727109515
324,1529,0.296989422294548
1570,5447,0.00137488542621444
1276,4654,0.0387200860446356
481,2108,0.197223828802776
726,3189,0.140445126630852
1014,3561,0.105502979320014
850,3112,0.127272727272727
826,3148,0.141673243883189
1323,4637,0.0328804347826087
643,2980,0.118123667377399
1316,4722,0.0440713536201469
1331,4850,0.0296239052035033
619,2175,0.20746887966805
939,3625,0.0933424845573095
523,2333,0.207889125799574
1098,3563,0.110062893081761
780,3367,0.118425891872012
675,2551,0.180938558297049
293,1226,0.370680628272251
924,3395,0.10781771026306
22,157,0.58041958041958
704,2754,0.165607985480944
87,464,0.473145780051151
1070,3767,0.0909390444810544
584,2438,0.185867895545315
1438,4983,0.0166498486377397
1205,4580,0.0415982484948002
330,1314,0.34225621414914
1390,4762,0.0256749602964531
1406,4940,0.026468364003025
986,3616,0.101178101178101
799,2806,0.154153709462461
181,1125,0.350676378772112
618,2188,0.220855301698887
276,1342,0.303491495076097
440,1684,0.257800891530461
1455,5004,0.0231862378459237
351,1592,0.275420336269015
1045,3760,0.0914816042426251
655,2579,0.161463414634146
124,857,0.408707865168539
392,2344,0.19271948608137
1131,4151,0.0701283199045061
693,2795,0.152317880794702
669,3234,0.121340523882897
496,2064,0.226829268292683
343,1622,0.262724550898204
602,2541,0.172983479105928
1403,5108,0.0182971456452793
104,655,0.453860640301318
952,3692,0.0863406408094435
775,3014,0.142682926829268
128,1005,0.356389214536929
617,2829,0.137053571428571
623,3002,0.140625
280,1634,0.258725341426404
1068,4195,0.0529482551143201
779,3174,0.121428571428571
410,2067,0.218523002421308
293,1809,0.251537935748462
1110,3978,0.0793157076205288
1419,4916,0.0214340392957387
769,3337,0.120733944954128
1491,5305,0.00776653330195343
81,456,0.51063829787234
34,419,0.484536082474227
1095,3956,0.0834908632640201
182,948,0.341494845360825
487,2225,0.209200438116101
554,2118,0.20517448856799
1332,4731,0.0304232804232805
920,3794,0.0746764022568869
24,58,0.666666666666667
1296,4513,0.0439469320066335
1197,4248,0.0646766169154229
480,2178,0.206033010813887
295,1474,0.249380677126342
1362,4783,0.0314053912588328
1193,4229,0.0574575766597202
168,896,0.37344398340249
42,201,0.474860335195531
1276,4579,0.0442139737991266
554,2223,0.180893159977388
563,2169,0.21746776084408
1042,3937,0.0820707070707071
549,2840,0.160698689956332
960,3610,0.103067907618063
215,1272,0.266859344894027
