Host,Parasite
Anolis eugenegrahami,Atractis scelopori
Anolis sagrei,Atractis scelopori
Leiocephalus carinatus,Atractis scelopori
Himantopus himantopus,Baruscapillaria belopolskaiae
Osteopilus septentrionalis,Batracholandros bassi
Rattus norvegicus,Capillaria hepatica
Himantopus mexicanus,Capillaria obsignata
Colaptes auratus,Capillaria venusta
Himantopus mexicanus,Chevreuxia revoluta
Pelecanus occidentalis,Contracaecum mexicanum
Phalacrocorax brasilianus,Contracaecum micropapillatum
Leptodactylus fuscus,Cosmocerca brasiliense
Leptodactylus macrosternum,Cosmocerca brasiliense
Leptodactylus nesiotus,Cosmocerca brasiliense
Sphaenorhynchus lacteus,Cosmocerca brasiliense
Leptodactylus macrosternum,Cosmocerca parva
Leptodactylus nesiotus,Cosmocerca parva
Osteopilus septentrionalis,Foleyella brachyoptera
Mus musculus,Gongylonema musculi
Mus musculus,Gongylonema neoplasticum
Osteopilus septentrionalis,Hammerschmidtiella diesingi
Capromys pilorides,Helminthoxys quentini
Capromys pilorides,Helminthoxys tiflophila
Artibeus jamaicensis,Litomosoides guiterasi
Mazama americana,Mazamastrongylus trinitatis
Mazama americana,Nematodirus urichi
Catharus minimus,Ornithocapillaria ovopunctata
Geotrygon montana,Ornithostrongylus fariai
Anolis equestris,Oswaldocruzia anolisi
Anolis marmoratus,Oswaldocruzia dorsarmata
Anolis marmoratus,Oswaldocruzia jeanbarti
Anolis armouri,Oswaldocruzia lenteixeirai
Anolis bahorucoensis,Oswaldocruzia lenteixeirai
Anolis eugenegrahami,Oswaldocruzia lenteixeirai
Anolis oculatus,Oswaldocruzia lenteixeirai
Anolis sagrei,Oswaldocruzia lenteixeirai
Eleutherodactylus armstrongi,Oswaldocruzia lenteixeirai
Eleutherodactylus coqui,Oswaldocruzia lenteixeirai
Eleutherodactylus portoricensis,Oswaldocruzia lenteixeirai
Leiocephalus carinatus,Oswaldocruzia lenteixeirai
Osteopilus septentrionalis,Oswaldocruzia lenteixeirai
Anolis marmoratus,Oswaldocruzia marechali
Anolis oculatus,Oswaldocruzia marechali
Anolis marmoratus,Oswaldocruzia mauleoni
Anolis sagrei,Ozolaimus monhystera
Capromys pilorides,Paraheligmonella cubaensis
Anolis acutus,Parapharyngodon cubensis
Anolis bimaculatus,Parapharyngodon cubensis
Anolis brevirostris,Parapharyngodon cubensis
Anolis chlorocyanus,Parapharyngodon cubensis
Anolis coelestinus,Parapharyngodon cubensis
Anolis cristatellus,Parapharyngodon cubensis
Anolis distichus,Parapharyngodon cubensis
Anolis eugenegrahami,Parapharyngodon cubensis
Anolis extremus,Parapharyngodon cubensis
Anolis ferreus,Parapharyngodon cubensis
Anolis gingivinus,Parapharyngodon cubensis
Anolis griseus,Parapharyngodon cubensis
Anolis lividus,Parapharyngodon cubensis
Anolis luciae,Parapharyngodon cubensis
Anolis marmoratus,Parapharyngodon cubensis
Anolis monticola,Parapharyngodon cubensis
Anolis oculatus,Parapharyngodon cubensis
Anolis olssoni,Parapharyngodon cubensis
Anolis roquet,Parapharyngodon cubensis
Anolis sabanus,Parapharyngodon cubensis
Anolis sagrei,Parapharyngodon cubensis
Anolis stratulus,Parapharyngodon cubensis
Hemidactylus mabouia,Parapharyngodon cubensis
Sphaerodactylus fantasticus,Parapharyngodon cubensis
Sphaerodactylus vincenti,Parapharyngodon cubensis
Eleutherodactylus coqui,Parapharyngodon garciae
Osteopilus septentrionalis,Parapharyngodon osteopili
Sciurus aestuans,Physaloptera murisbrasiliensis
Anolis sagrei,Physaloptera squamatae
Leiocephalus carinatus,Physaloptera squamatae
Anolis coelestinus,Physalopteroides bahamensis
Anolis distichus,Physalopteroides bahamensis
Osteopilus septentrionalis,Physalopteroides bahamensis
Osteopilus septentrionalis,Physalopteroides valdesi
Capromys pilorides,Pseudoheligmosomum howelli
Sciurus aestuans,Sciurodendrium aripense
Anolis acutus,Skrjabinodon anolis
Anolis armouri,Skrjabinoptera leiocephalorum
Anolis brevirostris,Skrjabinoptera leiocephalorum
Anolis cristatellus,Skrjabinoptera leiocephalorum
Anolis cybotes,Skrjabinoptera leiocephalorum
Anolis distichus,Skrjabinoptera leiocephalorum
Leiocephalus barahonensis,Skrjabinoptera leiocephalorum
Leiocephalus semilineatus,Skrjabinoptera leiocephalorum
Anolis sagrei,Skrjabinoptera phrynosoma
Hemidactylus turcicus,Skrjabinoptera phrynosoma
Anolis acutus,Spauligodon anolis
Anolis bimaculatus,Spauligodon anolis
Anolis cristatellus,Spauligodon anolis
Anolis ferreus,Spauligodon anolis
Anolis gingivinus,Spauligodon anolis
Anolis lineatopus,Spauligodon anolis
Anolis lividus,Spauligodon anolis
Anolis marmoratus,Spauligodon anolis
Anolis oculatus,Spauligodon anolis
Anolis sabanus,Spauligodon anolis
Anolis scriptus,Spauligodon anolis
Anolis stratulus,Spauligodon anolis
Anolis valencienni,Spauligodon anolis
Hemidactylus turcicus,Spauligodon californiensis
Anolis acutus,Spauligodon caymanensis
Anolis bimaculatus,Spauligodon caymanensis
Anolis ferreus,Spauligodon caymanensis
Anolis gingivinus,Spauligodon caymanensis
Anolis lividus,Spauligodon caymanensis
Anolis marmoratus,Spauligodon caymanensis
Anolis oculatus,Spauligodon caymanensis
Anolis sabanus,Spauligodon caymanensis
Leiocephalus carinatus,Spauligodon cubensis
Anolis bimaculatus,Spinicauda amarili
Mus musculus,Syphacia obvelata
Antillophis parvifrons,Terranova caballeroi
Eleutherodactylus abbotti,Terranova caballeroi
Eleutherodactylus armstrongi,Terranova caballeroi
Anolis bimaculatus,Thelandros cubensis
Natalus tumidirostris,Tricholeiperia trinidadensis
Mniotilta varia,Tridentocapillaria tridens
Piranga rubra,Tridentocapillaria tridens
Vireo griseus,Tridentocapillaria tridens
Himantopus mexicanus,Tropisurus nouveli
Tringa melanoleuca,Yseria quadripartita
Larus canus,Antennocara skrjabini
Larus cachinnans,Cosmocephalus obvelatus
Delphinapterus leucas,Anisakis kuekenthalii
Balaenoptera acutorostrata,Anisakis simplex
Delphinapterus leucas,Anisakis simplex
Globicephala melas,Anisakis simplex
Halichoerus grypus,Anisakis simplex
Lagenorhynchus albirostris,Anisakis simplex
Larus hyperboreus,Anisakis simplex
Monodon monoceros,Anisakis simplex
Histriophoca fasciata,Anisakis simplex
Phoca largha,Anisakis simplex
Phoca largha,Anisakis typica
Erignathus barbatus,Ascaris bulbosa
Cystophora cristata,Contracaecum osculatum
Erignathus barbatus,Contracaecum osculatum
Halichoerus grypus,Contracaecum osculatum
Larus hyperboreus,Contracaecum osculatum
Pagophilus groenlandicus,Contracaecum osculatum
Histriophoca fasciata,Contracaecum osculatum
Phoca largha,Contracaecum osculatum
Larus marinus,Cosmocephalus aduncus
Monodon monoceros,Halocercus monoceris
Delphinapterus leucas,Otophocaenurus oserskoi
Phoca largha,Otostrongylus circumlitus
Larus hyperboreus,Paracuaria adunca
Phoca largha,Parafilaroides krascheninnikovi
Monodon monoceros,Pharurus alatus
Phocoenoides dalli,Pharurus dalli
Delphinapterus leucas,Pharurus pallasii
Halichoerus grypus,Phocascaris cystophorae
Histriophoca fasciata,Phocascaris cystophorae
Phoca largha,Phocascaris cystophorae
Phoca largha,Phocascaris netsiki
Histriophoca fasciata,Phocascaris phocae
Erignathus barbatus,Pseudoterranova bulbosa
Balaenoptera musculus,Pseudoterranova decipiens
Erignathus barbatus,Pseudoterranova decipiens
Halichoerus grypus,Pseudoterranova decipiens
Pagophilus groenlandicus,Pseudoterranova decipiens
Histriophoca fasciata,Pseudoterranova decipiens
Phoca largha,Pseudoterranova decipiens
Cystophora cristata,Pseudoterranova decipiens
Halichoerus grypus,Pseudoterranova krabbei
Larus hyperboreus,Stegophorus stellaepolaris
Delphinapterus leucas,Stenurus arctomarinus
Globicephala melas,Stenurus globicephalae
Delphinapterus leucas,Stenurus pallasii
Phocoenoides dalli,Stenurus truei
Phocoenoides dalli,Stenurus yamagutii
Somateria mollissima,Streptocara crassicauda
Histriophoca fasciata,Terranova azarasi
Phoca largha,Terranova azarasi
Delphinapterus leucas,Terranova decipiens
Phoca largha,Terranova decipiens
Cavia aperea,Ackertia burgosi
Microcavia australis,Ackertia burgosi
Chaetophractus vellerosus,Ancylostoma martinagliai
Larus dominicanus,Ancyracanthopsis winegardi
Pontoporia blainvillei,Anisakis simplex
Myocastor coypus,Boehmiella perichitinea
Myocastor coypus,Capillaria hepatica
Ardea alba,Contracaecum multipapillatum
Cervus elaphus,Dictyocaulus noerneri
Myocastor coypus,Dipetalonema travassosi
Felis catus,Dirofilaria immitis
Lagostomus maximus,Graphidioides affinis
Cavia aperea,Graphidioides mazzai
Lagostomus maximus,Graphidioides rudicaudatus
Octodon bridgesi,Graphidioides taglei
Akodon simulator,Hassalstrongylus multiovatus
Graomys griseoflavus,Hassalstrongylus puntanus
Myocastor coypus,Heligmostrongylus maldonadoi
Microcavia australis,Helminthoxys caudatus
Lagidium viscacia,Helminthoxys effilatus
Octodon bridgesi,Helminthoxys gigantea
Microcavia australis,Heteroxynema caviellae
Lagidium viscacia,Heteroxynema viscaciae
Lagostomus maximus,Heteroxynema viscaciae
Lagostomus maximus,Lagostonema ecasiense
Lagidium viscacia,Lamanema chavezi
Oligoryzomys delticola,Litomosoides bonaerensis
Oligoryzomys nigripes,Litomosoides odilae
Oxymycterus rufus,Litomosoides oxymycteri
Tolypeutes matacus,Macielia elongata
Scapteromys aquaticus,Malvinema carolinae
Scapteromys aquaticus,Malvinema frederici
Scapteromys aquaticus,Malvinema victoriae
Scapteromys aquaticus,Malvinema yagoi
Tolypeutes matacus,Moennigia virilis
Thylamys venustus,Neohilgertia venusti
Chaetophractus vellerosus,Orihelia anticlava
Chaetophractus villosus,Orihelia anticlava
Euphractus sexcinctus,Orihelia anticlava
Tolypeutes matacus,Orihelia anticlava
Cervus elaphus,Ostertagia kolchida
Phymaturus punae,Parapharyngodon riojensis
Conepatus chinga,Physaloptera maxillaris
Plegadis chihi,Porrocaecum heteropterum
Theristicus melanopis,Porrocaecum heteropterum
Akodon azarae,Pterygodermatites azarai
Tolypeutes matacus,Pterygodermatites chaetophracti
Didelphis albiventris,Pterygodermatites kozeki
Lestodelphys halli,Pterygodermatites kozeki
Haematopus palliatus,Sciadiocara haematopodi
Larus dominicanus,Sciadiocara haematopodi
Larus dominicanus,Skrjabinoclava andersoni
Liolaemus capillitas,Spauligodon loboi
Liolaemus huacahuasicus,Spauligodon loboi
Liolaemus ornatus,Spauligodon loboi
Liolaemus quilmes,Spauligodon loboi
Liolaemus ramirezae,Spauligodon loboi
Cervus elaphus,Spiculopteragia asymmetrica
Cervus elaphus,Spiculopteragia mathevossiani
Reithrodon auritus,Stilestrongylus aureus
Akodon azarae,Stilestrongylus azarai
Graomys griseoflavus,Stilestrongylus azarai
