Host,Parasite
Microtus agrestis,Heligmosomoides kratochvili
Columba livia,Hadjelia truncata
Corvus frugilegus,Acuaria anthuris
Anas platyrhynchos,Amidostomum acutum
Bombina bombina,Anguillicola crassus
Apodemus flavicollis,Aonchotheca annulosa
Rattus norvegicus,Aonchotheca annulosa
Cervus elaphus,Aonchotheca bovis
Cervus nippon,Aonchotheca bovis
Dama dama,Aonchotheca bovis
Ovis ammon,Aonchotheca bovis
Erinaceus concolor,Aonchotheca erinacei
Turdus merula,Aonchotheca exilis
Turdus philomelos,Aonchotheca exilis
Neomys fodiens,Aonchotheca kutori
Sorex alpinus,Aonchotheca kutori
Sorex araneus,Aonchotheca kutori
Sorex minutus,Aonchotheca kutori
Prunella modularis,Aonchotheca longifilla
Apodemus flavicollis,Aonchotheca murissylvatici
Microtus arvalis,Aonchotheca murissylvatici
Mustela nivalis,Aonchotheca mustelorum
Neomys fodiens,Aonchotheca petrovi
Sorex araneus,Aonchotheca petrovi
Erithacus rubecula,Aprocta cylindrica
Sus scrofa,Ascarops strongylina
Phalacrocorax carbo,Baruscapillaria carbonis
Accipiter gentilis,Baruscapillaria falconis
Asio otus,Baruscapillaria falconis
Athene noctua,Baruscapillaria falconis
Buteo buteo,Baruscapillaria falconis
Turdus merula,Baruscapillaria ovopunctata
Corvus frugilegus,Baruscapillaria resecta
Coloeus monedula,Baruscapillaria resecta
Turdus merula,Baruscapillaria resecta
Phalacrocorax carbo,Baruscapillaria rudolphii
Procyon lotor,Baylisascaris columnaris
Dama dama,Bicaulus sagittatus
Apodemus flavicollis,Calodium hepaticum
Lepus europaeus,Calodium hepaticum
Ondatra zibethicus,Calodium hepaticum
Rattus norvegicus,Calodium hepaticum
Sorex minutus,Calodium soricicola
Cervus nippon,Capillaria bovis
Myotis myotis,Capillaria diesingi
Fringilla coelebs,Capillaria similis
Accipiter nisus,Capillaria tenuissima
Asio otus,Capillaria tenuissima
Bubo bubo,Capillaria tenuissima
Strix aluco,Capillaria tenuissima
Turdus philomelos,Cardiofilaria pavlovskyi
Dama dama,Chabertia ovina
Phalacrocorax carbo,Contracaecum rudolphii
Phalacrocorax carbo,Desmidocercella incognita
Ardea cinerea,Dicheilonema ciconiae
Ciconia ciconia,Dicheilonema ciconiae
Ciconia nigra,Dicheilonema ciconiae
Dama dama,Dictyocaulus viviparus
Rupicapra rupicapra,Dictyocaulus viviparus
Coracias garrulus,Diplotriaena henryi
Parus major,Diplotriaena henryi
Felis silvestris,Eucoleus aerophilus
Lynx lynx,Eucoleus aerophilus
Apodemus flavicollis,Eucoleus bacillatus
Rattus norvegicus,Eucoleus bacillatus
Vulpes vulpes,Eucoleus boehemi
Corvus corone,Eucoleus contortus
Vanellus vanellus,Eucoleus contortus
Neomys anomalus,Eucoleus oesophagicola
Sorex minutus,Eucoleus oesophagicola
Erinaceus europaeus,Eucoleus tenuis
Columba livia,Eulimdana clava
Meles meles,Filaria martis
Dama dama,Haemonchus contortus
Apodemus sylvaticus,Heligmosomoides laevis
Apodemus flavicollis,Heligmosomum costellatum
Apodemus sylvaticus,Heligmosomum costellatum
Ondatra zibethicus,Heligmosomum costellatum
Anser albifrons,Hystrichis tricolor
Crocidura russula,Liniscus incrassatus
Neomys fodiens,Liniscus incrassatus
Sorex minutus,Liniscus incrassatus
Rattus norvegicus,Liniscus papillosus
Miniopterus schreibersii,Litomosa filaria
Myotis myotis,Litomosa filaria
Plecotus auritus,Litomosa filaria
Sus scrofa,Metastrongylus confusus
Lepus europaeus,Micipsella numidica
Buteo buteo,Microtetrameres cloacitectus
Rupicapra rupicapra,Muellerius capillaris
Rupicapra rupicapra,Nematodirus filicollis
Dama dama,Nematodirus helvetianus
Dama dama,Nematodirus roscidus
Talpa europaea,Nematoideum talpae
Rupicapra rupicapra,Neostrongylus linearis
Dama dama,Oesophagostomum radiatum
Dama dama,Oesophagostomum venulosum
Dama dama,Onchocerca flexuosa
Cervus elaphus,Onchocerca skrjabini
Cervus elaphus,Onchocerca tarsicola
Cervus elaphus,Onchocerca tubingensis
Strix aluco,Ornithocapillaria cylindrica
Dryocopus martius,Ornithocapillaria picorum
Picus viridis,Ornithocapillaria picorum
Coccothraustes coccothraustes,Ornithofilaria mavis
Dama dama,Ostertagia kolchida
Dama dama,Ostertagia lyrata
Dama dama,Ostertagia ostertagi
Rana dalmatina,Oswaldocruzia filiformis
Equus caballus,Parascaris equorum
Ciconia ciconia,Paronchocerca ciconiarum
Ardea cinerea,Paronchocerca tonkinensis
Martes foina,Pearsonema mucronata
Canis lupus,Pearsonema plica
Fulica atra,Pelecitus fulicaeatrae
Aquila chrysaetos,Porrocaecum angusticolle
Aquila clanga,Porrocaecum angusticolle
Aquila rapax,Porrocaecum angusticolle
Circus aeruginosus,Porrocaecum angusticolle
Circus cyaneus,Porrocaecum angusticolle
Falco tinnunculus,Porrocaecum angusticolle
Pernis apivorus,Porrocaecum angusticolle
Vanellus vanellus,Porrocaecum crassum
Accipiter gentilis,Porrocaecum depressum
Accipiter nisus,Porrocaecum depressum
Aquila chrysaetos,Porrocaecum depressum
Asio otus,Porrocaecum depressum
Bubo bubo,Porrocaecum depressum
Buteo buteo,Porrocaecum depressum
Circus aeruginosus,Porrocaecum depressum
Circus cyaneus,Porrocaecum depressum
Milvus milvus,Porrocaecum depressum
Turdus merula,Porrocaecum ensicaudatum
Pluvialis squatarola,Porrocaecum semiteres
Scolopax rusticola,Porrocaecum semiteres
Lepus europaeus,Protostrongylus commutatus
Garrulus glandarius,Pseudaprocta gubernacularia
Vulpes vulpes,Pterygodermatites affinis
Microtus agrestis,Rhabditis orbitalis
Microtus arvalis,Rhabditis orbitalis
Microtus subterraneus,Rhabditis orbitalis
Cervus nippon,Setaria cervi
Dama dama,Setaria cervi
Capra ibex,Setaria labiatopapillosa
Cervus elaphus,Setaria labiatopapillosa
Odocoileus virginianus,Setaria transcaucasica
Mustela altaica,Skrjabingylus nasicola
Dama dama,Spiculopteragia asymmetrica
Dama dama,Spiculopteragia bohmi
Coracias garrulus,Squamofilaria coraciae
Vanellus vanellus,Streptocara pectinifera
Canis lupus,Strongyloides canis
Scolopax rusticola,Strongyloides turkmenica
Equus caballus,Strongyloides westeri
Phalacrocorax carbo,Syncuaria squamata
Philomachus pugnax,Syngamus palustris
Scolopax rusticola,Syngamus palustris
Tringa glareola,Syngamus palustris
Pernis apivorus,Synhimantus robertdollfusi
Philomachus pugnax,Tetrameres dubia
Scolopax rusticola,Tetrameres dubia
Tringa ochropus,Tetrameres dubia
Anas platyrhynchos,Thominx contorta
Procyon lotor,Toxascaris procyonis
Ursus arctos,Toxascaris transfuga
Apodemus agrarius,Toxocara canis
Apodemus flavicollis,Toxocara canis
Apodemus sylvaticus,Toxocara canis
Micromys minutus,Toxocara canis
Microtus arvalis,Toxocara canis
Mus musculus,Toxocara canis
Sus scrofa,Trichinella britovi
Ursus arctos,Trichinella britovi
Vulpes vulpes,Trichinella britovi
Canis lupus,Trichinella nelsoni
Vulpes vulpes,Trichinella nelsoni
Cervus elaphus,Trichocephalus ovis
Equus caballus,Trichostrongylus axei
Ondatra zibethicus,Trichostrongylus colubriformis
Dama dama,Trichuris capreoli
Dama dama,Trichuris globulosa
Dama dama,Trichuris ovis
Sus scrofa,Trichuris suis
Cervus elaphus,Varestrongylus sagittatus
Perdix perdix,Baruscapillaria tiaras
Microtus agrestis,Heligmosomum mixtum
Ardea herodias,Eustrongylides ignotus
Eptesicus fuscus,Longibucca eptesica
Martes americana,Molineus patens
Pandion haliaetus,Sexansocara skrjabini
Calidris alba,Skrjabinoclava bakeri
Calidris alba,Skrjabinoclava morrisoni
Calidris alpina,Skrjabinoclava myersi
Puma concolor,Toxocara cati
Leptodactylus mystaceus,Aplectana travassosi
Kinosternon leucostomum,Atractis caballeroi
Rhinoclemmys annulata,Atractis caballeroi
Carollia castanea,Carostrongylus touzeti
Artibeus lituratus,Cheiropteronema globocephala
Artibeus planirostris,Cheiropteronema globocephala
Rhinoclemmys annulata,Falcaustra tikasinghi
Rhinoclemmys melanosterna,Falcaustra tikasinghi
Rhinoclemmys nasuta,Falcaustra tikasinghi
Anolis chrysolepis,Oswaldocruzia bainae
Anolis fuscoauratus,Oswaldocruzia bainae
Bolitoglossa equatoriana,Oswaldocruzia bonsi
Hoplobatrachus tigerinus,Oswaldocruzia chambrieri
Leptodactylus pentadactylus,Oswaldocruzia petterae
Leptodactylus mystaceus,Schrankiana schranki
Anser albifrons,Amidostomum acutum
Anas crecca,Amidostomum anseris
Passer domesticus,Capillaria angusta
Aythya ferina,Capillaria obsignata
Equus caballus,Cyathostomum alveatum
Equus caballus,Cyathostomum auriculatum
Equus caballus,Cyathostomum bicoronatum
Equus caballus,Cyathostomum calicatum
Equus caballus,Cyathostomum elongatum
Equus caballus,Cyathostomum nassatum
Equus caballus,Cyathostomum poculatum
Equus caballus,Cyathostomum radiatum
Acomys cahirinus,Dentostomella kuntzi
Anas crecca,Epomidiostomum querquedulae
Mus musculus,Gongylonema aegypti
Rattus norvegicus,Heteroxynema wernecki
Rhinolophus clivosus,Litomosa chiropterorum
Tadarida teniotis,Litomosa chiropterorum
Acomys cahirinus,Mastophorus muris
Hemidactylus turcicus,Pharyngodon inermicauda
Hemidactylus turcicus,Pharyngodon mamillatus
Fulica atra,Pseudamidostomum loossi
Plecotus austriacus,Rictularia macdonaldi
Hemiechinus auritus,Rictularia qonfozi
Paraechinus aethiopicus,Rictularia qonfozi
Hemidactylus mabouia,Spauligodon auziensis
Hemidactylus turcicus,Spauligodon auziensis
Taphozous perforatus,Spirura rytipleurites
Acomys cahirinus,Streptopharagus kuntzi
Arvicanthis niloticus,Streptopharagus kuntzi
Gerbillus gerbillus,Streptopharagus kuntzi
Rattus norvegicus,Streptopharagus kuntzi
Chrysolophus amherstiae,Subulura amherstii
Acomys cahirinus,Syphacia minuta
Rattus norvegicus,Trichocephalus muris
Camelus dromedarius,Trichostrongylus probolurus
Ovis aries,Trichostrongylus probolurus
Camelus bactrianus,Trichostrongylus subtilis
Camelus dromedarius,Trichostrongylus subtilis
Camelus dromedarius,Trichostrongylus vitrinus
Rattus norvegicus,Trichuris muris
Equus caballus,Triodontus minor
Equus caballus,Triodontus serratus
Mustela erminea,Skrjabingylus nasicola
Mus musculus,Syphacia stroma
Meles meles,Aelurostrongylus falciformis
Equus caballus,Ascaris equorum
Capra hircus,Bunostomum trigonocephalum
Meles meles,Capillaria erinacei
Turdus merula,Capillaria exile
Turdus viscivorus,Capillaria exile
Microtus agrestis,Capillaria murissylvatici
Sorex araneus,Capillaria oesophagicola
Sorex minutus,Capillaria oesophagicola
Turdus merula,Capillaria ovopunctata
Turdus viscivorus,Capillaria ovopunctata
Turdus merula,Capillaria similis
Turdus viscivorus,Capillaria similis
Accipiter nisus,Cyathostoma lari
Buteo buteo,Cyathostoma lari
Falco tinnunculus,Cyathostoma lari
Dama dama,Dictyocaulus eckerti
Rangifer tarandus,Dictyocaulus eckerti
Capra hircus,Dictyocaulus filaria
Ovis aries,Dictyocaulus filaria
Lutra lutra,Dioctophyme renale
Tachybaptus ruficollis,Eustrongylides tubifex
Lepus europaeus,Graphidium strigosum
Lepus timidus,Graphidium strigosum
Microtus agrestis,Heligmosomoides glareoli
Perdix perdix,Heterakis gallinarum
Meles meles,Molineus patens
Ovis aries,Muellerius capillaris
Capra hircus,Nematodirus battus
Capra hircus,Nematodirus filicollis
Capra hircus,Oesophagostomum venulosum
Capra hircus,Ostertagia circumcincta
Capra hircus,Ostertagia kolchida
Capra hircus,Ostertagia lasensis
Capra hircus,Ostertagia trifurcata
Equus caballus,Oxyuris equi
Lepus timidus,Passalurus ambiguus
Apodemus flavicollis,Pelodera strongyloides
Apodemus sylvaticus,Pelodera strongyloides
Microtus agrestis,Pelodera strongyloides
Sorex araneus,Porrocaecum talpae
Sorex minutus,Porrocaecum talpae
Perdix perdix,Pterothominx blomei
Phasianus colchicus,Pterothominx blomei
Apodemus sylvaticus,Rhabditis orbitalis
Muscardinus avellanarius,Rhabditis orbitalis
Capra hircus,Skrjabinema ovis
Martes martes,Skrjabingylus nasicola
Mustela putorius,Strongyloides papillosus
Myocastor coypus,Strongyloides papillosus
Mustela putorius,Strongyloides putorii
Pyrrhocorax pyrrhocorax,Syngamus trachea
Microtus agrestis,Syphacia obvelata
Apodemus sylvaticus,Syphacia obvelata
Capra hircus,Teladorsagia davtiani
Felis silvestris,Toxocara cati
Rattus norvegicus,Toxocara cati
Capra hircus,Trichostrongylus capricola
Capra hircus,Trichostrongylus colubriformis
Buteo lagopus,Trichostrongylus pergracilis
Lepus timidus,Trichostrongylus retortaeformis
Myocastor coypus,Trichostrongylus retortaeformis
Buteo lagopus,Trichostrongylus tenuis
Capra hircus,Trichostrongylus vitrinus
Dama dama,Trichostrongylus vitrinus
Microtus agrestis,Trichuris muris
Capra hircus,Trichuris ovis
Ovis aries,Trichuris ovis
Equus caballus,Tridentoinfundibulum gobi
Meles meles,Uncinaria stenocephala
Phasianus colchicus,Capillaria phasianina
Alces alces,Ostertagia antipini
Alces alces,Setaria capreoli
Alces alces,Spiculopteragia dagestanica
Canis lupus,Trichinella britovi
Lynx lynx,Trichinella britovi
Nyctereutes procyonoides,Trichinella britovi
Lynx lynx,Trichinella nativa
Meles meles,Trichinella nativa
Nyctereutes procyonoides,Trichinella nativa
Rattus norvegicus,Trichinella nativa
Sus scrofa,Trichinella nativa
Ursus arctos,Trichinella nativa
Alces alces,Trichocephalus capreoli
Alces alces,Trichostrongylus colubriformis
Alces alces,Varestrongylus capreoli
Struthio camelus,Libyostrongylus magnus
Equus asinus,Oxyuris equi
Equus asinus,Parascaris equorum
Equus asinus,Strongylus edentatus
Equus asinus,Strongylus equinus
Equus asinus,Strongylus vulgaris
Xerus rutilus,Syphatineria antiqua
Xerus rutilus,Syphatineria transafricana
Equus asinus,Trichostrongylus axei
Corvus corone,Acuaria anthuris
Anas platyrhynchos,Amidostomum anseris
Cygnus cygnus,Amidostomum anseris
Bufo japonicus,Amphibiocapillaria bufonis
Nyctereutes procyonoides,Ancylostoma kusimaense
Procyon lotor,Ancylostoma kusimaense
Vulpes vulpes,Ancylostoma kusimaense
Prionailurus bengalensis,Ancylostoma tubaeforme
Onychodactylus japonicus,Angiostoma onychodactyla
Urotrichus talpoides,Angiostrongylus minutus
Martes melampus,Angiostrongylus ten
Puffinus tenuirostris,Anisakis appendiculata
Bufo japonicus,Aonchotheca buccalis
Crocidura dsinezumi,Aonchotheca crociduri
Apodemus argenteus,Aonchotheca murissylvatici
Martes melampus,Aonchotheca putorii
Sorex minutus,Aonchotheca soricis
Sorex shinto,Aonchotheca soricis
Sorex unguiculatus,Aonchotheca soricis
Prionailurus bengalensis,Arthrostoma hunanensis
Nyctereutes procyonoides,Arthrostoma miyazakiense
Vulpes vulpes,Arthrostoma miyazakiense
Streptopelia orientalis,Ascaridia columbae
Mogera wogura,Ascarops mogera
Mogera tokudae,Ascarops mogera
Luscinia calliope,Baruscapillaria calliopis
Anthus hodgsoni,Baruscapillaria emberizae
Anthus trivialis,Baruscapillaria emberizae
Emberiza sulphurata,Baruscapillaria emberizae
Emberiza variabilis,Baruscapillaria emberizae
Oryctolagus cuniculus,Baylisascaris procyonis
Ursus thibetanus,Baylisascaris transfuga
Equus caballus,Bidentostomum ivashkini
Mogera tokudae,Binema korsakowi
Mogera wogura,Binema korsakowi
Mogera wogura,Binema mirzaia
Sus scrofa,Bourgelatia diducta
Bos taurus,Bunostomum phlebotomum
Apodemus argenteus,Calodium hepaticum
Apodemus peninsulae,Calodium hepaticum
Mogera wogura,Cameronia biovata
Mogera tokudae,Cameronia biovata
Mogera wogura,Cameronia multiovata
Prionailurus bengalensis,Capillaria aerophila
Luscinia calliope,Capillaria calliopis
Cinclus cinclus,Capillaria cincli
Anthus trivialis,Capillaria emberizae
Emberiza variabilis,Capillaria emberizae
Prionailurus bengalensis,Capillaria feliscati
Rattus norvegicus,Capillaria gastrica
Nyctalus aviator,Capillaria pipistrelli
Pipistrellus javanicus,Capillaria pipistrelli
Rhinolophus ferrumequinum,Capillaria pipistrelli
Tachybaptus ruficollis,Capillaria podicipitis
Martes melampus,Capillaria putorii
Mustela itatsi,Capillaria putorii
Garrulus glandarius,Capillaria retusa
Strix uralensis,Capillaria tenuissima
Vanellus vanellus,Capillaria vanelli
Mogera wogura,Capillaria soricis
Mogera tokudae,Capillaria soricis
Cervus nippon,Cardiostrongylus sikae
Microtus montebelli,Carolinensis minutus
Ursus thibetanus,Cercopithifilaria japonica
Mogera tokudae,Chitwoodiella ovofilamenta
Mogera wogura,Chitwoodiella ovofilamenta
Phalacrocorax pelagicus,Contracaecum himeu
Egretta garzetta,Contracaecum microcephalum
Nycticorax nycticorax,Contracaecum microcephalum
Phalacrocorax pelagicus,Contracaecum microcephalum
Milvus migrans,Contracaecum milvi
Nycticorax nycticorax,Contracaecum rudolphii
Gavia pacifica,Contracaecum variegatum
Equus caballus,Coronocyclus ulambajari
Larus crassirostris,Cosmocephalus obvelatus
Larus schistisagus,Cosmocephalus obvelatus
Buergeria japonica,Cosmocerca japonica
Bufo japonicus,Cosmocerca japonica
Cynops ensicauda,Cosmocerca japonica
Hyla japonica,Cosmocerca japonica
Microhyla ornata,Cosmocerca japonica
Polypedates leucomystax,Cosmocerca japonica
Rana japonica,Cosmocerca japonica
Rana ornativentris,Cosmocerca japonica
Rana tagoi,Cosmocerca japonica
Rhacophorus viridis,Cosmocercella iwatsukii
Bufo gargarizans,Cosmocercoides pulcher
Bufo japonicus,Cosmocercoides pulcher
Rana ornativentris,Cosmocercoides pulcher
Cynops ensicauda,Cosmocercoides tridens
Echinotriton andersoni,Cosmocercoides tridens
Ciconia ciconia,Cyrnea excisa
Asio otus,Cyrnea excisiformis
Phasianus colchicus,Cyrnea graphophasiana
Syrmaticus soemmerringii,Cyrnea graphophasiana
Dipus sagitta,Dentostomella translucida
Andrias japonicus,Dioctophyme renale
Mustela itatsi,Dioctophyme renale
Turdus eunomus,Diplotriaena bargusinica
Garrulus glandarius,Diplotriaena manipoli
Turdus cardis,Diplotriaena nipponensis
Mustela itatsi,Dirofilaria immitis
Nyctereutes procyonoides,Dirofilaria immitis
Lepus timidus,Dirofilaria timidi
Ursus thibetanus,Dirofilaria ursi
Tadorna tadorna,Echinuria uncinata
Martes melampus,Eucoleus aerophilus
Larus crassirostris,Eucoleus contortus
Sorex unguiculatus,Eucoleus oesophagicola
Larus canus,Eufilaria lari
Tachybaptus ruficollis,Eustrongylides elegans
Anas platyrhynchos,Eustrongylides excisus
Mergus merganser,Eustrongylides mergorum
Andrias japonicus,Filaria cingulum
Equus caballus,Filaria papillosa
Mustela itatsi,Filaroides martis
Sus scrofa,Globocephalus longemucronatus
Sus scrofa,Globocephalus samoensis
Sus scrofa,Gnathostoma doloresi
Mustela itatsi,Gnathostoma nipponicum
Mustela sibirica,Gnathostoma nipponicum
Macaca fuscata,Gongylonema macrogubernaculum
Cervus nippon,Gongylonema pulchrum
Macaca fuscata,Gongylonema pulchrum
Sousa chinensis,Halocercus pingi
Niviventer confucianus,Heligmonoides alishanensis
Tokudaia osimensis,Heligmonoides ikeharai
Apodemus draco,Heligmonoides taiwanensis
Apodemus argenteus,Heligmosomoides kurilensis
Apodemus peninsulae,Heligmosomoides kurilensis
Apodemus argenteus,Heligmosomoides polygyrus
Microtus montebelli,Heligmosomoides protobullosus
Microtus montebelli,Heligmosomum halli
Apodemus argenteus,Heligmosomum yamagutii
Anas platyrhynchos,Heterakis gallinarum
Columba livia,Heterakis maculosa
Nycticorax nycticorax,Heterakis yamadori
Phasianus colchicus,Heterakis yamadori
Amphiesma pryeri,Kalicephalus brachycephalus
Gloydius blomhoffii,Kalicephalus brachycephalus
Amphiesma vibakari,Kalicephalus costatus
Andrias japonicus,Kamegainema cingulum
Sorex minutus,Liniscus hokkaidensis
Sorex shinto,Liniscus hokkaidensis
Sorex unguiculatus,Liniscus hokkaidensis
Otis tarda,Lissonema mongolicum
Lepus brachyurus,Longistriata leporis
Petaurista leucogenys,Longistriata musasabi
Sorex unguiculatus,Longistriata yamashitai
Apodemus argenteus,Mammanidula hokkaidensis
Capra sibirica,Marshallagia mongolica
Capra sibirica,Marshallagia schumakovitschi
Allactaga sibirica,Mastophorus muris
Dipus sagitta,Mastophorus muris
Sus scrofa,Metastrongylus apri
Sus scrofa,Metastrongylus asymmetricus
Japalura polygonata,Meteterakis ishikawanae
Bufo gargarizans,Meteterakis japonica
Bufo japonicus,Meteterakis japonica
Mogera tokudae,Mirzaiella asiatica
Mogera wogura,Mirzaiella asiatica
Mogera wogura,Mirzaiella haroldi
Mogera wogura,Moguranema nipponicum
Mogera tokudae,Moguranema nipponicum
Urotrichus talpoides,Moguranema nipponicum
Nyctereutes procyonoides,Molineus legerae
Procyon lotor,Molineus legerae
Martes melampus,Molineus patens
Rhinolophus ferrumequinum,Molinostrongylus rhinolophi
Cervus nippon,Nematodirus helvetianus
Apodemus agrarius,Nippostrongylus muris
Crocidura russula,Nippostrongylus muris
Micromys minutus,Nippostrongylus muris
Microtus fortis,Nippostrongylus muris
Mus musculus,Nippostrongylus muris
Lepus brachyurus,Obeliscoides leporis
Macaca fuscata,Oesophagostomum aculeatum
Sus scrofa,Onchocerca dewittei
Cervus nippon,Onchocerca skrjabini
Rattus norvegicus,Orientostrongylus ezoensis
Bandicota indica,Orientostrongylus tenorai
Capreolus pygargus,Ostertagia antipini
Capreolus pygargus,Ostertagia lyrataeformis
Cervus nippon,Ostertagia ostertagi
Bufo gargarizans,Oswaldocruzia insulae
Bufo japonicus,Oswaldocruzia insulae
Hyla japonica,Oswaldocruzia insulae
Rana japonica,Oswaldocruzia socialis
Rana ornativentris,Oswaldocruzia socialis
Larus argentatus,Paracuaria macdonaldi
Larus crassirostris,Paracuaria tridentata
Onychodactylus japonicus,Parapharyngodon japonicus
Mogera wogura,Parastrongyloides winchesi
Mogera tokudae,Parastrongyloides winchesi
Sorex shinto,Parastrongyloides winchesi
Sorex unguiculatus,Parastrongyloides winchesi
Martes melampus,Pearsonema plica
Buergeria buergeri,Pharyngodon polypedatis
Accipiter nisus,Physaloptera alata
Accipiter virgatus,Physaloptera alata
Allactaga bullata,Physaloptera massino
Egretta intermedia,Porrocaecum angusticolle
Milvus migrans,Porrocaecum angusticolle
Otus scops,Porrocaecum crassum
Egretta intermedia,Porrocaecum reticulatum
Japalura polygonata,Pseudabbreviata yambarensis
Anas crecca,Pseudocapillaria mergi
Cygnus cygnus,Pseudocapillaria mergi
Mogera tokudae,Pseudonymus hydrophili
Mogera wogura,Pseudonymus hydrophili
Rhinolophus ferrumequinum,Pseudophysaloptera formosana
Tadarida teniotis,Pseudophysaloptera formosana
Onychodactylus japonicus,Pseudoxyascaris japonicus
Apodemus agrarius,Pterygodermatites sp.
Polypedates leucomystax,Raillietnema rhacophori
Gloydius blomhoffii,Rhabdias horigutii
Bufo bufo,Rhabdias incerta
Bufo gargarizans,Rhabdias incerta
Bufo japonicus,Rhabdias incerta
Japalura polygonata,Rhabdias japalurae
Japalura swinhonis,Rhabdias japalurae
Buergeria buergeri,Rhabdias nipponica
Rana japonica,Rhabdias nipponica
Rana ornativentris,Rhabdias nipponica
Rana tagoi,Rhabdias nipponica
Cynops ensicauda,Rhabdias tokyoensis
Apodemus argenteus,Rhabditis orbitalis
Microtus montebelli,Rhabditis orbitalis
Rattus norvegicus,Rhabditis orbitalis
Onychodactylus japonicus,Rhabdochona oncorhynchi
Apodemus argenteus,Rictularia cristata
Apodemus peninsulae,Rictularia cristata
Rhinolophus ferrumequinum,Rictularia rhinolophi
Allactaga sibirica,Rictularia sibiricensis
Cervus nippon,Rinadia andreevae
Cervus nippon,Rinadia japonica
Cygnus cygnus,Sarconema eurycerca
Sus scrofa,Setaria bernardi
Bos taurus,Setaria digitata
Macaca mulatta,Setaria digitata
Moschus moschiferus,Setaria kabarga
Bos taurus,Setaria marshalli
Puffinus griseus,Seuratia puffini
Puffinus tenuirostris,Seuratia puffini
Mogera tokudae,Singhiella singhi
Mogera wogura,Singhiella singhi
Gekko japonicus,Skrjabinelazia machidai
Mustela itatsi,Skrjabingylus nasicola
Allactaga sibirica,Skrjabinocercina petrovi
Sorex shinto,Soboliphyme abei
Sorex unguiculatus,Soboliphyme abei
Sorex caecutiens,Soboliphyme ataahai
Martes melampus,Soboliphyme baturini
Cervus nippon,Spiculopteragia houdemeri
Cervus nippon,Spiculopteragia yamashitai
Tachybaptus ruficollis,Spirofilaria podicipitis
Andrias japonicus,Spiroxys hanzaki
Urotrichus talpoides,Spirura nipponensis
Sorex shinto,Stefanskostrongylus yagii
Tachybaptus ruficollis,Streptocara recta
Macaca fuscata,Streptopharagus pigmentatus
Miniopterus schreibersii,Strongylacantha pretoriensis
Rhinolophus cornutus,Strongylacantha pretoriensis
Suncus murinus,Strongyloides akbari
Rallus aquaticus,Strongyloides avium
Macaca fuscata,Strongyloides fuelleborni
Prionailurus bengalensis,Strongyloides planiceps
Vulpes vulpes,Strongyloides planiceps
Japalura polygonata,Strongyluris calotis
Japalura polygonata,Strongyluris japalurae
Allactaga bullata,Subulura citelli
Allactaga sibirica,Subulura citelli
Coturnix coturnix,Subulura coturnicis
Apodemus argenteus,Subulura suzukii
Ninox scutulata,Subulura taiwanensis
Corvus macrorhynchos,Syngamus trachea
Nycticorax nycticorax,Synhimantus groffi
Bubulcus ibis,Synhimantus invaginata
Nisaetus nipalensis,Synhimantus nipponensis
Strix uralensis,Synhimantus sigmoides
Apodemus argenteus,Syphacia agraria
Apodemus peninsulae,Syphacia agraria
Apodemus argenteus,Syphacia emileromani
Apodemus argenteus,Syphacia frederici
Mesocricetus auratus,Syphacia mesocriceti
Microtus montebelli,Syphacia montana
Apodemus peninsulae,Syphacia emileromani
Apodemus sylvaticus,Syphacia emileromani
Rattus losea,Syphacia muris
Apodemus agrarius,Syphacia obvelata
Crocidura russula,Syphacia obvelata
Micromys minutus,Syphacia obvelata
Microtus fortis,Syphacia obvelata
Apodemus semotus,Syphacia ohtaorum
Petaurista leucogenys,Sypharista kamegaii
Martes melampus,Tetragomphius melis
Meles meles,Tetragomphius melis
Grus monacha,Tetrameres grusi
Scolopax rusticola,Tetrameres scolopacis
Meles meles,Toxocara anakumae
Apodemus peninsulae,Toxocara apodemi
Prionailurus bengalensis,Toxocara cati
Nyctereutes procyonoides,Toxocara tanuki
Procyon lotor,Toxocara tanuki
Ursus thibetanus,Trichinella britovi
Mogera wogura,Tricholinstowia talpae
Microtus montebelli,Trichostrongylus retortaeformis
Lepus brachyurus,Trichuris sylvilagi
Macaca fuscata,Trichuris trichiura
Sitta europaea,Tridentocapillaria parusi
Prionailurus bengalensis,Uncinaria felidis
Prionailurus iriomotensis,Uncinaria maya
Brachylophus fasciatus,Alaeuris brachylophi
Rattus exulans,Capillaria gastrica
Rattus exulans,Capillaria hepatica
Rattus exulans,Capillaria traverae
Rattus exulans,Gongylonema neoplasticum
Gehyra oceanica,Spauligodon gehyrae
Rattus exulans,Strongyloides ratti
Rattus exulans,Syphacia muris
Lyrurus tetrix,Ascaridia compar
Sorex caecutiens,Capillaria kutori
Microtus agrestis,Heligmosomoides laevis
Microtus agrestis,Heligmosomum costellatum
Aquila chrysaetos,Hovorkonema americanum
Bubo bubo,Hovorkonema americanum
Sorex caecutiens,Longistriata depressa
Sorex caecutiens,Longistriata pseudodidas
Sorex minutus,Longistriata pseudodidas
Sorex caecutiens,Parastrongyloides winchesi
Lepus timidus,Protostrongylus pulmonalis
Corvus cornix,Syngamus trachea
Microtus agrestis,Syphacia nigeriana
Lynx lynx,Toxocara cati
Aphelocoma coerulescens,Acuaria quiscali
Anas fulvigula,Amidostomum acutum
