"","Abundance","Adenia heterophylla","Aleurites rockinghamensis","Archontophoenix alexandrae","Archontophoenix alexandrae","Ardisia pachyrrhachis","Cardwellia sublimis","Castanospermum australe","Clerodendrum tracyanum","Crotalaria sp1 M_PA_004","Cryptocarya hypospodia","Cryptocarya murrayi","Dysoxylum mollissimum subsp. molle","Dysoxylum papuanum","Dysoxylum pettigrewianum","Elaeocarpus angustifolius","Embelia caulialata","Endospermum myrmecophilum","Entada phaseoloides","Euodia sp1 M_PA_004","Ficus septica","Flagellaria indica","Glochidion philippicum","Homalanthus novoguineensis","Ichnocarpus frutescens","Ipomoea indica","Jasminum didymum","Licuala ramsayi","Macaranga involucrata subsp. mallotoides","Macaranga tanarius","Mallotus mollissimus","Mallotus paniculatus","Merremia peltata","Mucuna gigantea","Neosepicaea jucunda","Normanbya normanbyi","Pachygone longifolia","Passiflora sp. indet.","Rockinghamia angustifolia","Rockinghamia angustifolia","Smilax cf. australis","Stephania japonica","Syzygium cormiflorum","Syzygium erythrocalyx","Syzygium gustavioides","Syzygium sayeri","Toona ciliata","Trichosanthes pentaphylla","Unidentified sp1 M_PA_004","Urena lobata","Wrightia laevis subsp. millgar"
"Rhoptromyrmex wroughtonii",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhytidoponera spoliata",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Strumigenys guttulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tapinoma melanocephalum",30,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tapinoma minutum",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Technomyrmex albipes ",55,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,13,0,2,1,2,0,1,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tetramorium insolens",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetramorium validiusculum",39,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetraponera nitida",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Turneria bidentata",0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
